Title,Author,Rating,Want to Read
Textbook of physical diagnosis: history and examination,Mark H. Swartz,5.0 (1 rating),10 Want to read
"The Large, the Small, and the Human Mind",Roger Penrose,3.0 (2 ratings),15 Want to read
Reality Is Not What It Seems: The journey to Quantum Gravity,Carlo Rovelli,5.0 (2 ratings),19 Want to read
"The Visual Story: Seeing the Structure of Film, TV and New Media",Bruce Block,N/A,10 Want to read
"Selected solutions for Fundamentals of physics, third edition / third edition extended [by] David Halliday, Robert Resnick","Edward Derringh, David Halliday, Robert Resnick",5.0 (1 rating),18 Want to read
Davis's drug guide for nurses,"Judith Hopfer Deglin, Susan L. Michlovitz, James W. Bellew, Thomas Nolan, April Hazard Vallerand, Judith Hoffer Deglin",N/A,9 Want to read
Awareness through movement: health exercises for personal growth,Moshe Feldenkrais,N/A,19 Want to read
Göttingische Gelehrte Anzeigen,"Königliche Gesellschaft der Wissenschaft..., Akademie der Wissenschaften in Göttingen",N/A,1 Want to read
Motor Learning and Control for Practitioners,Cheryl A. Coker,N/A,7 Want to read
An Introduction To Statistical Learning With Applications In R,Gareth James,4.0 (1 rating),23 Want to read
Omega RX Zone: the miracle of the new high-dose fish oil,Barry Sears,4.0 (2 ratings),6 Want to read
College physics,Jerry D. Wilson,N/A,12 Want to read
Advances in Chemical Physics,Stuart A. Rice,N/A,N/A
Advanced engineering mathematics,Erwin Kreyszig,N/A,13 Want to read
Quantum Gravity (Cambridge Monographs on Mathematical Physics),Carlo Rovelli,5.0 (1 rating),13 Want to read
Sidelights on relativity,"Albert Einstein, G. B. Jeffery, W Perrett, W. Perrett",N/A,6 Want to read
The classical theory of fields,L.D Landau,N/A,6 Want to read
Cauldrons in the cosmos: nuclear astrophysics,"Claus E. Rolfs, William S. Rodney",3.3 (3 ratings),18 Want to read
Cambridge o Level Physics,"Heather Kennett, Duncan, Tom",1.0 (1 rating),20 Want to read
"Rational hydrotherapy: a manual of the physiological and therapeutic effects of hydriatic procedures, and the technique of their application in the treatment of disease",John Harvey Kellogg,N/A,12 Want to read
Problems.,Aristotle,5.0 (1 rating),7 Want to read
Why Does E=mc2?: (and why should we care?),Brian Cox,3.5 (2 ratings),15 Want to read
"Quantum mechanics, non-relativistic theory","L.D Landau, E M Lifshitz",N/A,5 Want to read
Principles of mechanics,"J. L. Synge, B.A. Griffith",5.0 (1 rating),10 Want to read
Introduction to polymers,Robert J. Young,N/A,15 Want to read
An Introduction to Clinical Diagnosis in the Tropics,A.O. Falase,5.0 (1 rating),22 Want to read
"Very special people: the struggles, loves, and triumphs of human oddities",Frederick Drimmer,4.0 (1 rating),16 Want to read
The Testosterone Advantage Plan,"Lou Schuler, Jeff Volek, Michael Mejia, Andy Campbell, Adam Campbell",4.0 (1 rating),15 Want to read
The web of life: a new scientific understanding of living systems,"Fritjof Capra, Michael Prichard",N/A,15 Want to read
Biocentrism,Robert Lanza,5.0 (1 rating),22 Want to read
The book of nothing,"John D. Barrow, John Barrow",N/A,13 Want to read
A cosmic adventure,Jayant Vishnu Narlikar,5.0 (1 rating),19 Want to read
Fisica Conceptual,Paul G. Hewitt,N/A,19 Want to read
Physics,"John D. Cutnell, Kenneth W. Johnson",N/A,6 Want to read
Introductory physics: building understanding,Jerold Touger,N/A,7 Want to read
Handbook of chemistry and physics: a ready-reference book of chemical and physical data.,Charles David Hodgman,N/A,5 Want to read
Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,4.0 (2 ratings),16 Want to read
"Balancing 04: 16 Task Card Activities For Grades 7-12 (Task Card Series, 04)","Doris Metcalf, Ron Marson",N/A,2 Want to read
Facilitation techniques based on NDT principles,Lois Bly,N/A,21 Want to read
E = mc2: A Biography of the World's Most Famous Equation,David Bodanis,4.0 (2 ratings),8 Want to read
Physics for scientists and engineers: a strategic approach,Randall Dewey Knight,N/A,19 Want to read
Sears & Zemansky's college physics,"Francis Weston Sears, Hugh D. Young, Robert Geller",N/A,10 Want to read
Motor control: translating research into clinical practice,"Anne Shumway-Cook, Marjorie Hines Woollacott",N/A,19 Want to read
Raquel: The Raquel Welch Total Beauty and Fitness Program,Raquel Welch,N/A,12 Want to read
The weather and climate of southern Africa,Peter Daughtrey Tyson,1.0 (2 ratings),19 Want to read
Reflections of our past: how human history is revealed in our genes,"John Relethford, John H. Relethford",N/A,7 Want to read
How bad do you want it?: mastering the psychology of mind over muscle,Matt Fitzgerald,N/A,18 Want to read
Classical Mechanics,John R. Taylor,4.3 (3 ratings),19 Want to read
101 design methods: a structured approach for driving innovation in your organization,Vijay Kumar,N/A,15 Want to read
The Physics of Star Trek,Lawrence Maxwell Krauss,4.0 (4 ratings),12 Want to read
